DatasetName Sushi_xsc[pb] Sushi_xsc_err[pb]
HToZATo2L2B_230p77_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_37p10_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_45p88_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_56p73_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_69p78_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_85p09_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_102p72_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_230p77_123p89_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.153989913 0.000715794169
HToZATo2L2B_261p40_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_37p10_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_45p88_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_56p73_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_69p66_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_85p10_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_102p99_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_124p53_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_261p40_150p50_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0866314421 0.000402509065
HToZATo2L2B_296p10_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_36p79_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_45p12_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_55p33_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_67p65_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_82p40_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_99p90_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_120p82_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_145p93_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_296p10_176p02_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0486027478 0.000224224434
HToZATo2L2B_335p40_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_36p79_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_45p12_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_55p33_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_67p54_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_82p14_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_99p61_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_120p39_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_145p06_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_174p55_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_335p40_209p73_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0271845493 0.000123775121
HToZATo2L2B_379p00_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_36p63_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_44p72_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_54p59_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_66p57_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_80p99_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_98p26_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_118p81_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_143p08_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_171p71_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_205p76_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_379p00_246p30_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.0153478737 6.85405399e-05
HToZATo2L2B_442p63_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_36p64_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_44p76_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_54p67_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_66p49_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_80p03_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_95p27_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_113p53_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_135p44_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_161p81_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_193p26_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_230p49_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_274p57_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_442p63_327p94_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00740360221 3.17348245e-05
HToZATo2L2B_516p94_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_36p47_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_44p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_53p90_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_65p52_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_78p52_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_93p12_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_109p30_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_128p58_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_151p69_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_179p35_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_212p14_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_250p63_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_296p65_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_352p61_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_516p94_423p96_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00355391586 1.43593976e-05
HToZATo2L2B_609p21_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_34p86_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_40p51_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_47p08_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_54p71_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_63p58_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_73p89_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_85p86_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_99p78_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_116p29_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_135p66_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_158p41_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_185p18_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_216p52_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_253p68_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_298p01_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_351p22_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_417p76_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_609p21_505p93_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.00162104488 6.02676141e-06
HToZATo2L2B_717p96_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
